cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |   21   22   23  |   18   19   20  |   15   16   17  |   12   13   14  | 
    8 |   24   25   26  |   21   22   23  |   18   19   20  |   15   16   17  | 
    9 |   27   28   29  |   24   25   26  |   21   22   23  |   18   19   20  | 
   10 |   30   31   32  |   27   28   29  |   24   25   26  |   21   22   23  | 
   11 |   33   34   35  |   30   31   32  |   27   28   29  |   24   25   26  | 
   12 |   36   37   38  |   33   34   35  |   30   31   32  |   27   28   29  | 
   13 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   14 |   42   43    .  |   39   40   41  |   36   37   38  |   33   34   35  | 
   15 |    .    .    .  |   42   43    .  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
   16 |    .    .    .  |    .    .    .  |   42   43    .  |   39   40   41  | fetch stalled (branch in OF/EX)
   17 |   44   45    .  |    .    .    .  |    .    .    .  |   42   43    .  | 
   18 |    .    .    .  |   44   45    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   19 |    .    .    .  |    .    .    .  |   44   45    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   20 |   46   47   48  |    .    .    .  |    .    .    .  |   44   45    .  | 
   21 |   49   50    .  |   46   47   48  |    .    .    .  |    .    .    .  | 
   22 |    .    .    .  |   49   50    .  |   46   47   48  |    .    .    .  | fetch stalled (branch in OF/EX)
   23 |    .    .    .  |    .    .    .  |   49   50    .  |   46   47   48  | fetch stalled (branch in OF/EX)
   24 |   51   52   53  |    .    .    .  |    .    .    .  |   49   50    .  | 
   25 |    .    .    .  |   51   52   53  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   26 |    .    .    .  |    .    .    .  |   51   52   53  |    .    .    .  | fetch stalled (branch in OF/EX)
   27 |   54   55   56  |    .    .    .  |    .    .    .  |   51   52   53  | 
   28 |    .    .    .  |   54   55   56  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   29 |    .    .    .  |    .    .    .  |   54   55   56  |    .    .    .  | HALT in EX: fetch stopped
   30 |    .    .    .  |    .    .    .  |    .    .    .  |   54   55   56  | HALT in WB: done
