cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |   21   22   23  |   18   19   20  |   15   16   17  |   12   13   14  | 
    8 |   24   25   26  |   21   22   23  |   18   19   20  |   15   16   17  | 
    9 |   27   28   29  |   24   25   26  |   21   22   23  |   18   19   20  | 
   10 |   30   31   32  |   27   28   29  |   24   25   26  |   21   22   23  | 
   11 |   33   34   35  |   30   31   32  |   27   28   29  |   24   25   26  | 
   12 |   36   37   38  |   33   34   35  |   30   31   32  |   27   28   29  | 
   13 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   14 |   42   43   44  |   39   40   41  |   36   37   38  |   33   34   35  | 
   15 |   45   46   47  |   42   43   44  |   39   40   41  |   36   37   38  | 
   16 |  x48  x49  x50  |  x45  x46  x47  |   42   43  x44  |   39   40   41  | JL taken -> 51
   17 |   51   52   53  |    .    .    .  |    .    .    .  |   42   43    .  | 
   18 |   54   55   56  |   51   52   53  |    .    .    .  |    .    .    .  | 
   19 |  x57  x58  x59  |  x54  x55  x56  |   51  x52  x53  |    .    .    .  | JL taken -> 60
   20 |   60   61   62  |    .    .    .  |    .    .    .  |   51    .    .  | 
   21 |   63   64   65  |   60   61   62  |    .    .    .  |    .    .    .  | 
   22 |   66   67   68  |   63   64   65  |   60   61   62  |    .    .    .  | 
   23 |   69   70   71  |   66   67   68  |   63   64   65  |   60   61   62  | 
   24 |  x72  x73  x74  |  x69  x70  x71  |   66   67   68  |   63   64   65  | JL taken -> 75
   25 |   75   76   77  |    .    .    .  |    .    .    .  |   66   67   68  | 
   26 |   78   79   80  |   75   76   77  |    .    .    .  |    .    .    .  | 
   27 |  x81  x82  x83  |  x78  x79  x80  |   75  x76  x77  |    .    .    .  | JL taken -> 84
   28 |   84   85   86  |    .    .    .  |    .    .    .  |   75    .    .  | 
   29 |   87   88   89  |   84   85   86  |    .    .    .  |    .    .    .  | 
   30 |  x90  x91  x92  |  x87  x88  x89  |   84   85   86  |    .    .    .  | HALT in EX: fetch stopped
   31 |    .    .    .  |    .    .    .  |    .    .    .  |   84   85   86  | HALT in WB: done
