cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |   21   22   23  |   18   19   20  |   15   16   17  |   12   13   14  | 
    8 |   24   25   26  |   21   22   23  |   18   19   20  |   15   16   17  | 
    9 |   27   28   29  |   24   25   26  |   21   22   23  |   18   19   20  | 
   10 |   30   31   32  |   27   28   29  |   24   25   26  |   21   22   23  | 
   11 |   33   34   35  |   30   31   32  |   27   28   29  |   24   25   26  | 
   12 |   36   37   38  |   33   34   35  |   30   31   32  |   27   28   29  | 
   13 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   14 |   42   43    .  |   39   40   41  |   36   37   38  |   33   34   35  | 
   15 |    .    .    .  |   42   43    .  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
   16 |    .    .    .  |    .    .    .  |   42   43    .  |   39   40   41  | JL taken -> 51
   17 |   51    .    .  |    .    .    .  |    .    .    .  |   42   43    .  | 
   18 |    .    .    .  |   51    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   19 |    .    .    .  |    .    .    .  |   51    .    .  |    .    .    .  | JL taken -> 60
   20 |   60   61   62  |    .    .    .  |    .    .    .  |   51    .    .  | 
   21 |   63    .    .  |   60   61   62  |    .    .    .  |    .    .    .  | 
   22 |    .    .    .  |   63    .    .  |   60   61   62  |    .    .    .  | fetch stalled (branch in OF/EX)
   23 |    .    .    .  |    .    .    .  |   63    .    .  |   60   61   62  | fetch stalled (branch in OF/EX)
   24 |   64   65   66  |    .    .    .  |    .    .    .  |   63    .    .  | 
   25 |    .    .    .  |   64   65   66  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   26 |    .    .    .  |    .    .    .  |   64   65   66  |    .    .    .  | fetch stalled (branch in OF/EX)
   27 |   67   68    .  |    .    .    .  |    .    .    .  |   64   65   66  | 
   28 |    .    .    .  |   67   68    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   29 |    .    .    .  |    .    .    .  |   67   68    .  |    .    .    .  | JL taken -> 75
   30 |   75    .    .  |    .    .    .  |    .    .    .  |   67   68    .  | 
   31 |    .    .    .  |   75    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   32 |    .    .    .  |    .    .    .  |   75    .    .  |    .    .    .  | JL taken -> 84
   33 |   84   85   86  |    .    .    .  |    .    .    .  |   75    .    .  | 
   34 |    .    .    .  |   84   85   86  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   35 |    .    .    .  |    .    .    .  |   84   85   86  |    .    .    .  | HALT in EX: fetch stopped
   36 |    .    .    .  |    .    .    .  |    .    .    .  |   84   85   86  | HALT in WB: done
