cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |   21   22   23  |   18   19   20  |   15   16   17  |   12   13   14  | 
    8 |   24   25   26  |   21   22   23  |   18   19   20  |   15   16   17  | 
    9 |   27   28   29  |   24   25   26  |   21   22   23  |   18   19   20  | 
   10 |   30   31   32  |   27   28   29  |   24   25   26  |   21   22   23  | 
   11 |   33   34   35  |   30   31   32  |   27   28   29  |   24   25   26  | 
   12 |   36   37   38  |   33   34   35  |   30   31   32  |   27   28   29  | 
   13 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   14 |   42   43   44  |   39   40   41  |   36   37   38  |   33   34   35  | 
   15 |   45   46   47  |   42   43   44  |   39   40   41  |   36   37   38  | 
   16 |  x48  x49  x50  |  x45  x46  x47  |   42   43   44  |   39   40   41  | JL taken -> 54
   17 |   54   55   56  |    .    .    .  |    .    .    .  |   42   43   44  | 
   18 |   57   58   59  |   54   55   56  |    .    .    .  |    .    .    .  | 
   19 |  x60  x61  x62  |  x57  x58  x59  |   54   55   56  |    .    .    .  | JL taken -> 45
   20 |   45   46   47  |    .    .    .  |    .    .    .  |   54   55   56  | 
   21 |   48   49   50  |   45   46   47  |    .    .    .  |    .    .    .  | 
   22 |  x51  x52  x53  |  x48  x49  x50  |   45   46   47  |    .    .    .  | JL taken -> 57
   23 |   57   58   59  |    .    .    .  |    .    .    .  |   45   46   47  | 
   24 |   60   61   62  |   57   58   59  |    .    .    .  |    .    .    .  | 
   25 |  x63  x64  x65  |  x60  x61  x62  |   57   58   59  |    .    .    .  | JL taken -> 48
   26 |   48   49   50  |    .    .    .  |    .    .    .  |   57   58   59  | 
   27 |   51   52   53  |   48   49   50  |    .    .    .  |    .    .    .  | 
   28 |  x54  x55  x56  |  x51  x52  x53  |   48   49   50  |    .    .    .  | JL taken -> 36
   29 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   30 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   31 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   32 |   45   46   47  |   42   43   44  |   39   40   41  |   36   37   38  | 
   33 |   48   49   50  |   45   46   47  |   42   43   44  |   39   40   41  | 
   34 |  x51  x52  x53  |  x48  x49  x50  |   45   46   47  |   42   43   44  | JL taken -> 57
   35 |   57   58   59  |    .    .    .  |    .    .    .  |   45   46   47  | 
   36 |   60   61   62  |   57   58   59  |    .    .    .  |    .    .    .  | 
   37 |  x63  x64  x65  |  x60  x61  x62  |   57   58   59  |    .    .    .  | JL taken -> 48
   38 |   48   49   50  |    .    .    .  |    .    .    .  |   57   58   59  | 
   39 |   51   52   53  |   48   49   50  |    .    .    .  |    .    .    .  | 
   40 |  x54  x55  x56  |  x51  x52  x53  |   48   49   50  |    .    .    .  | JL taken -> 36
   41 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   42 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   43 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   44 |   45   46   47  |   42   43   44  |   39   40   41  |   36   37   38  | 
   45 |  x48  x49  x50  |  x45  x46  x47  |   42   43   44  |   39   40   41  | JL taken -> 54
   46 |   54   55   56  |    .    .    .  |    .    .    .  |   42   43   44  | 
   47 |   57   58   59  |   54   55   56  |    .    .    .  |    .    .    .  | 
   48 |  x60  x61  x62  |  x57  x58  x59  |   54   55   56  |    .    .    .  | JL taken -> 45
   49 |   45   46   47  |    .    .    .  |    .    .    .  |   54   55   56  | 
   50 |   48   49   50  |   45   46   47  |    .    .    .  |    .    .    .  | 
   51 |   51   52   53  |   48   49   50  |   45   46   47  |    .    .    .  | 
   52 |  x54  x55  x56  |  x51  x52  x53  |   48   49   50  |   45   46   47  | JL taken -> 36
   53 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   54 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   55 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   56 |   45   46   47  |   42   43   44  |   39   40   41  |   36   37   38  | 
   57 |   48   49   50  |   45   46   47  |   42   43   44  |   39   40   41  | 
   58 |   51   52   53  |   48   49   50  |   45   46   47  |   42   43   44  | 
   59 |  x54  x55  x56  |  x51  x52  x53  |   48   49   50  |   45   46   47  | JL taken -> 36
   60 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   61 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   62 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   63 |   45   46   47  |   42   43   44  |   39   40   41  |   36   37   38  | 
   64 |   48   49   50  |   45   46   47  |   42   43   44  |   39   40   41  | 
   65 |  x51  x52  x53  |  x48  x49  x50  |   45   46   47  |   42   43   44  | JL taken -> 57
   66 |   57   58   59  |    .    .    .  |    .    .    .  |   45   46   47  | 
   67 |   60   61   62  |   57   58   59  |    .    .    .  |    .    .    .  | 
   68 |  x63  x64  x65  |  x60  x61  x62  |   57   58   59  |    .    .    .  | JL taken -> 48
   69 |   48   49   50  |    .    .    .  |    .    .    .  |   57   58   59  | 
   70 |   51   52   53  |   48   49   50  |    .    .    .  |    .    .    .  | 
   71 |  x54  x55  x56  |  x51  x52  x53  |   48   49   50  |    .    .    .  | JL taken -> 36
   72 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   73 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   74 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   75 |   45   46   47  |   42   43   44  |   39   40   41  |   36   37   38  | 
   76 |   48   49   50  |   45   46   47  |   42   43   44  |   39   40   41  | 
   77 |   51   52   53  |   48   49   50  |   45   46   47  |   42   43   44  | 
   78 |  x54  x55  x56  |  x51  x52  x53  |   48   49   50  |   45   46   47  | JL taken -> 36
   79 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   80 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   81 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   82 |   45   46   47  |   42   43   44  |   39   40   41  |   36   37   38  | 
   83 |   48   49   50  |   45   46   47  |   42   43   44  |   39   40   41  | 
   84 |   51   52   53  |   48   49   50  |   45   46   47  |   42   43   44  | 
   85 |   54   55   56  |   51   52   53  |   48   49   50  |   45   46   47  | 
   86 |  x57  x58  x59  |  x54  x55  x56  |   51  x52  x53  |   48   49   50  | HALT in EX: fetch stopped
   87 |    .    .    .  |    .    .    .  |    .    .    .  |   51    .    .  | HALT in WB: done
