cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |   21   22   23  |   18   19   20  |   15   16   17  |   12   13   14  | 
    8 |   24   25   26  |   21   22   23  |   18   19   20  |   15   16   17  | 
    9 |   27   28   29  |   24   25   26  |   21   22   23  |   18   19   20  | 
   10 |   30   31   32  |   27   28   29  |   24   25   26  |   21   22   23  | 
   11 |   33   34   35  |   30   31   32  |   27   28   29  |   24   25   26  | 
   12 |   36   37   38  |   33   34   35  |   30   31   32  |   27   28   29  | 
   13 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   14 |   42   43   44  |   39   40   41  |   36   37   38  |   33   34   35  | 
   15 |    .    .    .  |   42   43   44  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
   16 |    .    .    .  |    .    .    .  |   42   43   44  |   39   40   41  | JL taken -> 54
   17 |   54   55   56  |    .    .    .  |    .    .    .  |   42   43   44  | 
   18 |    .    .    .  |   54   55   56  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   19 |    .    .    .  |    .    .    .  |   54   55   56  |    .    .    .  | JL taken -> 45
   20 |   45   46   47  |    .    .    .  |    .    .    .  |   54   55   56  | 
   21 |    .    .    .  |   45   46   47  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   22 |    .    .    .  |    .    .    .  |   45   46   47  |    .    .    .  | JL taken -> 57
   23 |   57   58   59  |    .    .    .  |    .    .    .  |   45   46   47  | 
   24 |    .    .    .  |   57   58   59  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   25 |    .    .    .  |    .    .    .  |   57   58   59  |    .    .    .  | JL taken -> 48
   26 |   48   49   50  |    .    .    .  |    .    .    .  |   57   58   59  | 
   27 |    .    .    .  |   48   49   50  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   28 |    .    .    .  |    .    .    .  |   48   49   50  |    .    .    .  | JL taken -> 36
   29 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   30 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   31 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   32 |    .    .    .  |   42   43   44  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
   33 |    .    .    .  |    .    .    .  |   42   43   44  |   39   40   41  | fetch stalled (branch in OF/EX)
   34 |   45   46   47  |    .    .    .  |    .    .    .  |   42   43   44  | 
   35 |    .    .    .  |   45   46   47  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   36 |    .    .    .  |    .    .    .  |   45   46   47  |    .    .    .  | JL taken -> 57
   37 |   57   58   59  |    .    .    .  |    .    .    .  |   45   46   47  | 
   38 |    .    .    .  |   57   58   59  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   39 |    .    .    .  |    .    .    .  |   57   58   59  |    .    .    .  | JL taken -> 48
   40 |   48   49   50  |    .    .    .  |    .    .    .  |   57   58   59  | 
   41 |    .    .    .  |   48   49   50  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   42 |    .    .    .  |    .    .    .  |   48   49   50  |    .    .    .  | JL taken -> 36
   43 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   44 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   45 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   46 |    .    .    .  |   42   43   44  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
   47 |    .    .    .  |    .    .    .  |   42   43   44  |   39   40   41  | JL taken -> 54
   48 |   54   55   56  |    .    .    .  |    .    .    .  |   42   43   44  | 
   49 |    .    .    .  |   54   55   56  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   50 |    .    .    .  |    .    .    .  |   54   55   56  |    .    .    .  | JL taken -> 45
   51 |   45   46   47  |    .    .    .  |    .    .    .  |   54   55   56  | 
   52 |    .    .    .  |   45   46   47  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   53 |    .    .    .  |    .    .    .  |   45   46   47  |    .    .    .  | fetch stalled (branch in OF/EX)
   54 |   48   49   50  |    .    .    .  |    .    .    .  |   45   46   47  | 
   55 |    .    .    .  |   48   49   50  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   56 |    .    .    .  |    .    .    .  |   48   49   50  |    .    .    .  | JL taken -> 36
   57 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   58 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   59 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   60 |    .    .    .  |   42   43   44  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
   61 |    .    .    .  |    .    .    .  |   42   43   44  |   39   40   41  | fetch stalled (branch in OF/EX)
   62 |   45   46   47  |    .    .    .  |    .    .    .  |   42   43   44  | 
   63 |    .    .    .  |   45   46   47  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   64 |    .    .    .  |    .    .    .  |   45   46   47  |    .    .    .  | fetch stalled (branch in OF/EX)
   65 |   48   49   50  |    .    .    .  |    .    .    .  |   45   46   47  | 
   66 |    .    .    .  |   48   49   50  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   67 |    .    .    .  |    .    .    .  |   48   49   50  |    .    .    .  | JL taken -> 36
   68 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   69 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   70 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   71 |    .    .    .  |   42   43   44  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
   72 |    .    .    .  |    .    .    .  |   42   43   44  |   39   40   41  | fetch stalled (branch in OF/EX)
   73 |   45   46   47  |    .    .    .  |    .    .    .  |   42   43   44  | 
   74 |    .    .    .  |   45   46   47  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   75 |    .    .    .  |    .    .    .  |   45   46   47  |    .    .    .  | JL taken -> 57
   76 |   57   58   59  |    .    .    .  |    .    .    .  |   45   46   47  | 
   77 |    .    .    .  |   57   58   59  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   78 |    .    .    .  |    .    .    .  |   57   58   59  |    .    .    .  | JL taken -> 48
   79 |   48   49   50  |    .    .    .  |    .    .    .  |   57   58   59  | 
   80 |    .    .    .  |   48   49   50  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   81 |    .    .    .  |    .    .    .  |   48   49   50  |    .    .    .  | JL taken -> 36
   82 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   83 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   84 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   85 |    .    .    .  |   42   43   44  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
