cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |   21   22   23  |   18   19   20  |   15   16   17  |   12   13   14  | 
    8 |  x24  x25  x26  |  x21  x22  x23  |   18   19   20  |   15   16   17  | JL taken -> 21
    9 |   21   22   23  |    .    .    .  |    .    .    .  |   18   19   20  | 
   10 |   24   25   26  |   21   22   23  |    .    .    .  |    .    .    .  | 
   11 |  x27  x28  x29  |  x24  x25  x26  |   21   22   23  |    .    .    .  | JL taken -> 24
   12 |   24   25   26  |    .    .    .  |    .    .    .  |   21   22   23  | 
   13 |   27   28   29  |   24   25   26  |    .    .    .  |    .    .    .  | 
   14 |  x30  x31  x32  |  x27  x28  x29  |   24   25   26  |    .    .    .  | JL taken -> 27
   15 |   27   28   29  |    .    .    .  |    .    .    .  |   24   25   26  | 
   16 |   30   31   32  |   27   28   29  |    .    .    .  |    .    .    .  | 
   17 |  x33  x34  x35  |  x30  x31  x32  |   27   28   29  |    .    .    .  | JL taken -> 30
   18 |   30   31   32  |    .    .    .  |    .    .    .  |   27   28   29  | 
   19 |   33   34   35  |   30   31   32  |    .    .    .  |    .    .    .  | 
   20 |  x36  x37  x38  |  x33  x34  x35  |   30   31   32  |    .    .    .  | JL taken -> 33
   21 |   33   34   35  |    .    .    .  |    .    .    .  |   30   31   32  | 
   22 |   36   37   38  |   33   34   35  |    .    .    .  |    .    .    .  | 
   23 |  x39  x40  x41  |  x36  x37  x38  |   33   34   35  |    .    .    .  | JL taken -> 36
   24 |   36   37   38  |    .    .    .  |    .    .    .  |   33   34   35  | 
   25 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   26 |  x42  x43  x44  |  x39  x40  x41  |   36   37   38  |    .    .    .  | JL taken -> 39
   27 |   39   40   41  |    .    .    .  |    .    .    .  |   36   37   38  | 
   28 |   42   43   44  |   39   40   41  |    .    .    .  |    .    .    .  | 
   29 |  x45  x46  x47  |  x42  x43  x44  |   39   40   41  |    .    .    .  | JL taken -> 42
   30 |   42   43   44  |    .    .    .  |    .    .    .  |   39   40   41  | 
   31 |   45   46   47  |   42   43   44  |    .    .    .  |    .    .    .  | 
   32 |  x48  x49  x50  |  x45  x46  x47  |   42   43   44  |    .    .    .  | JL taken -> 45
   33 |   45   46   47  |    .    .    .  |    .    .    .  |   42   43   44  | 
   34 |   48   49   50  |   45   46   47  |    .    .    .  |    .    .    .  | 
   35 |  x51  x52  x53  |  x48  x49  x50  |   45   46   47  |    .    .    .  | JL taken -> 48
   36 |   48   49   50  |    .    .    .  |    .    .    .  |   45   46   47  | 
   37 |   51   52   53  |   48   49   50  |    .    .    .  |    .    .    .  | 
   38 |  x54  x55  x56  |  x51  x52  x53  |   48   49   50  |    .    .    .  | JL taken -> 51
   39 |   51   52   53  |    .    .    .  |    .    .    .  |   48   49   50  | 
   40 |   54   55   56  |   51   52   53  |    .    .    .  |    .    .    .  | 
   41 |  x57  x58  x59  |  x54  x55  x56  |   51   52   53  |    .    .    .  | JL taken -> 54
   42 |   54   55   56  |    .    .    .  |    .    .    .  |   51   52   53  | 
   43 |   57   58   59  |   54   55   56  |    .    .    .  |    .    .    .  | 
   44 |  x60  x61  x62  |  x57  x58  x59  |   54   55   56  |    .    .    .  | JL taken -> 57
   45 |   57   58   59  |    .    .    .  |    .    .    .  |   54   55   56  | 
   46 |   60   61   62  |   57   58   59  |    .    .    .  |    .    .    .  | 
   47 |  x63  x64  x65  |  x60  x61  x62  |   57   58   59  |    .    .    .  | JL taken -> 60
   48 |   60   61   62  |    .    .    .  |    .    .    .  |   57   58   59  | 
   49 |   63   64   65  |   60   61   62  |    .    .    .  |    .    .    .  | 
   50 |  x66  x67  x68  |  x63  x64  x65  |   60   61   62  |    .    .    .  | JL taken -> 63
   51 |   63   64   65  |    .    .    .  |    .    .    .  |   60   61   62  | 
   52 |   66   67   68  |   63   64   65  |    .    .    .  |    .    .    .  | 
   53 |  x69  x70  x71  |  x66  x67  x68  |   63   64   65  |    .    .    .  | JL taken -> 66
   54 |   66   67   68  |    .    .    .  |    .    .    .  |   63   64   65  | 
   55 |   69   70   71  |   66   67   68  |    .    .    .  |    .    .    .  | 
   56 |  x72  x73  x74  |  x69  x70  x71  |   66   67   68  |    .    .    .  | JL taken -> 69
   57 |   69   70   71  |    .    .    .  |    .    .    .  |   66   67   68  | 
   58 |   72   73   74  |   69   70   71  |    .    .    .  |    .    .    .  | 
   59 |  x75  x76  x77  |  x72  x73  x74  |   69   70   71  |    .    .    .  | JL taken -> 72
   60 |   72   73   74  |    .    .    .  |    .    .    .  |   69   70   71  | 
   61 |   75   76   77  |   72   73   74  |    .    .    .  |    .    .    .  | 
   62 |  x78  x79  x80  |  x75  x76  x77  |   72   73   74  |    .    .    .  | JL taken -> 75
   63 |   75   76   77  |    .    .    .  |    .    .    .  |   72   73   74  | 
   64 |   78   79   80  |   75   76   77  |    .    .    .  |    .    .    .  | 
   65 |  x81  x82  x83  |  x78  x79  x80  |   75   76   77  |    .    .    .  | JL taken -> 78
   66 |   78   79   80  |    .    .    .  |    .    .    .  |   75   76   77  | 
   67 |   81   82   83  |   78   79   80  |    .    .    .  |    .    .    .  | 
   68 |  x84  x85  x86  |  x81  x82  x83  |   78   79   80  |    .    .    .  | JL taken -> 81
   69 |   81   82   83  |    .    .    .  |    .    .    .  |   78   79   80  | 
   70 |   84   85   86  |   81   82   83  |    .    .    .  |    .    .    .  | 
   71 |  x87  x88  x89  |  x84  x85  x86  |   81   82   83  |    .    .    .  | JL taken -> 84
   72 |   84   85   86  |    .    .    .  |    .    .    .  |   81   82   83  | 
   73 |   87   88   89  |   84   85   86  |    .    .    .  |    .    .    .  | 
   74 |  x90  x91  x92  |  x87  x88  x89  |   84   85   86  |    .    .    .  | JL taken -> 87
   75 |   87   88   89  |    .    .    .  |    .    .    .  |   84   85   86  | 
   76 |   90   91   92  |   87   88   89  |    .    .    .  |    .    .    .  | 
   77 |  x93  x94  x95  |  x90  x91  x92  |   87   88   89  |    .    .    .  | JL taken -> 90
   78 |   90   91   92  |    .    .    .  |    .    .    .  |   87   88   89  | 
   79 |   93   94   95  |   90   91   92  |    .    .    .  |    .    .    .  | 
   80 |  x96  x97  x98  |  x93  x94  x95  |   90  x91  x92  |    .    .    .  | HALT in EX: fetch stopped
   81 |    .    .    .  |    .    .    .  |    .    .    .  |   90    .    .  | HALT in WB: done
