seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;LOAD ;2;4;0;4
8;5;1;7;LOAD ;2;4;0;4
9;5;2;8;ADD  ;2;4;0;4
10;6;0;9;ADD  ;3;4;0;4
11;6;1;10;NOP  ;3;4;0;4
12;6;2;11;NOP  ;3;4;0;4
13;7;0;12;NOP  ;4;4;0;4
14;7;1;13;NOP  ;4;4;0;4
15;7;2;14;NOP  ;4;4;0;4
16;8;0;15;NOP  ;5;4;0;4
17;8;1;16;NOP  ;5;4;0;4
18;8;2;17;NOP  ;5;4;0;4
19;9;0;18;ADD  ;6;4;0;4
20;9;1;19;ADD  ;6;4;0;4
21;9;2;20;JL   ;6;4;0;4
22;12;0;21;ADD  ;9;4;2;6
23;12;1;22;ADD  ;9;4;0;4
24;12;2;23;JL   ;9;4;0;4
25;13;0;24;ADD  ;10;4;0;4
26;13;1;25;ADD  ;10;4;0;4
27;13;2;26;JL   ;10;4;0;4
28;16;0;27;ADD  ;13;4;2;6
29;16;1;28;ADD  ;13;4;0;4
30;16;2;29;JL   ;13;4;0;4
31;17;0;30;ADD  ;14;4;0;4
32;17;1;31;ADD  ;14;4;0;4
33;17;2;32;JL   ;14;4;0;4
34;20;0;33;ADD  ;17;4;2;6
35;20;1;34;ADD  ;17;4;0;4
36;20;2;35;JL   ;17;4;0;4
37;21;0;36;ADD  ;18;4;0;4
38;21;1;37;ADD  ;18;4;0;4
39;21;2;38;JL   ;18;4;0;4
40;24;0;39;ADD  ;21;4;2;6
41;24;1;40;ADD  ;21;4;0;4
42;24;2;41;JL   ;21;4;0;4
43;25;0;42;ADD  ;22;4;0;4
44;25;1;43;ADD  ;22;4;0;4
45;25;2;44;JL   ;22;4;0;4
46;28;0;45;ADD  ;25;4;2;6
47;28;1;46;ADD  ;25;4;0;4
48;28;2;47;JL   ;25;4;0;4
49;29;0;48;ADD  ;26;4;0;4
50;29;1;49;ADD  ;26;4;0;4
51;29;2;50;JL   ;26;4;0;4
52;32;0;51;ADD  ;29;4;2;6
53;32;1;52;ADD  ;29;4;0;4
54;32;2;53;JL   ;29;4;0;4
55;33;0;54;ADD  ;30;4;0;4
56;33;1;55;ADD  ;30;4;0;4
57;33;2;56;JL   ;30;4;0;4
58;36;0;57;ADD  ;33;4;2;6
59;36;1;58;ADD  ;33;4;0;4
60;36;2;59;JL   ;33;4;0;4
61;37;0;60;ADD  ;34;4;0;4
62;37;1;61;ADD  ;34;4;0;4
63;37;2;62;JL   ;34;4;0;4
64;40;0;63;ADD  ;37;4;2;6
65;40;1;64;ADD  ;37;4;0;4
66;40;2;65;JL   ;37;4;0;4
67;41;0;66;ADD  ;38;4;0;4
68;41;1;67;ADD  ;38;4;0;4
69;41;2;68;JL   ;38;4;0;4
70;44;0;69;ADD  ;41;4;2;6
71;44;1;70;ADD  ;41;4;0;4
72;44;2;71;JL   ;41;4;0;4
73;45;0;72;ADD  ;42;4;0;4
74;45;1;73;ADD  ;42;4;0;4
75;45;2;74;JL   ;42;4;0;4
76;48;0;75;ADD  ;45;4;2;6
77;48;1;76;ADD  ;45;4;0;4
78;48;2;77;JL   ;45;4;0;4
79;49;0;78;ADD  ;46;4;0;4
80;49;1;79;ADD  ;46;4;0;4
81;49;2;80;JL   ;46;4;0;4
82;52;0;81;ADD  ;49;4;2;6
83;52;1;82;ADD  ;49;4;0;4
84;52;2;83;JL   ;49;4;0;4
85;53;0;84;ADD  ;50;4;0;4
86;53;1;85;ADD  ;50;4;0;4
87;53;2;86;JL   ;50;4;0;4
88;56;0;87;ADD  ;53;4;2;6
89;56;1;88;ADD  ;53;4;0;4
90;56;2;89;JL   ;53;4;0;4
91;57;0;90;HALT ;54;4;0;4
