cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |    .    .    .  |   18   19   20  |   15   16   17  |   12   13   14  | fetch stalled (branch in OF/EX)
    8 |    .    .    .  |    .    .    .  |   18   19   20  |   15   16   17  | JL taken -> 21
    9 |   21   22   23  |    .    .    .  |    .    .    .  |   18   19   20  | 
   10 |    .    .    .  |   21   22   23  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   11 |    .    .    .  |    .    .    .  |   21   22   23  |    .    .    .  | fetch stalled (branch in OF/EX)
   12 |   24   25   26  |    .    .    .  |    .    .    .  |   21   22   23  | 
   13 |    .    .    .  |   24   25   26  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   14 |    .    .    .  |    .    .    .  |   24   25   26  |    .    .    .  | JL taken -> 27
   15 |   27   28   29  |    .    .    .  |    .    .    .  |   24   25   26  | 
   16 |    .    .    .  |   27   28   29  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   17 |    .    .    .  |    .    .    .  |   27   28   29  |    .    .    .  | fetch stalled (branch in OF/EX)
   18 |   30   31   32  |    .    .    .  |    .    .    .  |   27   28   29  | 
   19 |    .    .    .  |   30   31   32  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   20 |    .    .    .  |    .    .    .  |   30   31   32  |    .    .    .  | JL taken -> 33
   21 |   33   34   35  |    .    .    .  |    .    .    .  |   30   31   32  | 
   22 |    .    .    .  |   33   34   35  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   23 |    .    .    .  |    .    .    .  |   33   34   35  |    .    .    .  | fetch stalled (branch in OF/EX)
   24 |   36   37   38  |    .    .    .  |    .    .    .  |   33   34   35  | 
   25 |    .    .    .  |   36   37   38  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   26 |    .    .    .  |    .    .    .  |   36   37   38  |    .    .    .  | JL taken -> 39
   27 |   39   40   41  |    .    .    .  |    .    .    .  |   36   37   38  | 
   28 |    .    .    .  |   39   40   41  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   29 |    .    .    .  |    .    .    .  |   39   40   41  |    .    .    .  | fetch stalled (branch in OF/EX)
   30 |   42   43   44  |    .    .    .  |    .    .    .  |   39   40   41  | 
   31 |    .    .    .  |   42   43   44  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   32 |    .    .    .  |    .    .    .  |   42   43   44  |    .    .    .  | JL taken -> 45
   33 |   45   46   47  |    .    .    .  |    .    .    .  |   42   43   44  | 
   34 |    .    .    .  |   45   46   47  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   35 |    .    .    .  |    .    .    .  |   45   46   47  |    .    .    .  | fetch stalled (branch in OF/EX)
   36 |   48   49   50  |    .    .    .  |    .    .    .  |   45   46   47  | 
   37 |    .    .    .  |   48   49   50  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   38 |    .    .    .  |    .    .    .  |   48   49   50  |    .    .    .  | JL taken -> 51
   39 |   51   52   53  |    .    .    .  |    .    .    .  |   48   49   50  | 
   40 |    .    .    .  |   51   52   53  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   41 |    .    .    .  |    .    .    .  |   51   52   53  |    .    .    .  | fetch stalled (branch in OF/EX)
   42 |   54   55   56  |    .    .    .  |    .    .    .  |   51   52   53  | 
   43 |    .    .    .  |   54   55   56  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   44 |    .    .    .  |    .    .    .  |   54   55   56  |    .    .    .  | JL taken -> 57
   45 |   57   58   59  |    .    .    .  |    .    .    .  |   54   55   56  | 
   46 |    .    .    .  |   57   58   59  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   47 |    .    .    .  |    .    .    .  |   57   58   59  |    .    .    .  | fetch stalled (branch in OF/EX)
   48 |   60   61   62  |    .    .    .  |    .    .    .  |   57   58   59  | 
   49 |    .    .    .  |   60   61   62  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   50 |    .    .    .  |    .    .    .  |   60   61   62  |    .    .    .  | JL taken -> 63
   51 |   63   64   65  |    .    .    .  |    .    .    .  |   60   61   62  | 
   52 |    .    .    .  |   63   64   65  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   53 |    .    .    .  |    .    .    .  |   63   64   65  |    .    .    .  | fetch stalled (branch in OF/EX)
   54 |   66   67   68  |    .    .    .  |    .    .    .  |   63   64   65  | 
   55 |    .    .    .  |   66   67   68  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   56 |    .    .    .  |    .    .    .  |   66   67   68  |    .    .    .  | JL taken -> 69
   57 |   69   70   71  |    .    .    .  |    .    .    .  |   66   67   68  | 
   58 |    .    .    .  |   69   70   71  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   59 |    .    .    .  |    .    .    .  |   69   70   71  |    .    .    .  | fetch stalled (branch in OF/EX)
   60 |   72   73   74  |    .    .    .  |    .    .    .  |   69   70   71  | 
   61 |    .    .    .  |   72   73   74  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   62 |    .    .    .  |    .    .    .  |   72   73   74  |    .    .    .  | JL taken -> 75
   63 |   75   76   77  |    .    .    .  |    .    .    .  |   72   73   74  | 
   64 |    .    .    .  |   75   76   77  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   65 |    .    .    .  |    .    .    .  |   75   76   77  |    .    .    .  | fetch stalled (branch in OF/EX)
   66 |   78   79   80  |    .    .    .  |    .    .    .  |   75   76   77  | 
   67 |    .    .    .  |   78   79   80  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   68 |    .    .    .  |    .    .    .  |   78   79   80  |    .    .    .  | JL taken -> 81
   69 |   81   82   83  |    .    .    .  |    .    .    .  |   78   79   80  | 
   70 |    .    .    .  |   81   82   83  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   71 |    .    .    .  |    .    .    .  |   81   82   83  |    .    .    .  | fetch stalled (branch in OF/EX)
   72 |   84   85   86  |    .    .    .  |    .    .    .  |   81   82   83  | 
   73 |    .    .    .  |   84   85   86  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   74 |    .    .    .  |    .    .    .  |   84   85   86  |    .    .    .  | JL taken -> 87
   75 |   87   88   89  |    .    .    .  |    .    .    .  |   84   85   86  | 
   76 |    .    .    .  |   87   88   89  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   77 |    .    .    .  |    .    .    .  |   87   88   89  |    .    .    .  | fetch stalled (branch in OF/EX)
   78 |   90    .    .  |    .    .    .  |    .    .    .  |   87   88   89  | 
   79 |    .    .    .  |   90    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   80 |    .    .    .  |    .    .    .  |   90    .    .  |    .    .    .  | HALT in EX: fetch stopped
   81 |    .    .    .  |    .    .    .  |    .    .    .  |   90    .    .  | HALT in WB: done
