seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;ADD  ;2;4;0;4
8;5;1;7;ADD  ;2;4;0;4
9;5;2;8;ADD  ;2;4;0;4
10;6;0;9;NOP  ;3;4;0;4
11;6;1;10;NOP  ;3;4;0;4
12;6;2;11;NOP  ;3;4;0;4
13;7;0;12;JL   ;4;4;0;4
14;10;0;13;ADD  ;7;4;3;7
15;10;1;14;JL   ;7;4;0;4
16;13;0;15;SUB  ;10;4;3;7
17;13;1;16;JL   ;10;4;0;4
18;16;0;17;LOAD ;13;4;3;7
19;16;1;18;JL   ;13;4;0;4
20;19;0;19;STORE;16;4;3;7
21;19;1;20;JL   ;16;4;0;4
22;22;0;21;NOP  ;19;4;3;7
23;22;1;22;JL   ;19;4;0;4
24;25;0;23;JL   ;22;4;3;7
25;28;0;24;JL   ;25;4;3;7
26;31;0;25;ADD  ;28;4;3;7
27;31;1;26;JL   ;28;4;0;4
28;34;0;27;SUB  ;31;4;3;7
29;34;1;28;JL   ;31;4;0;4
30;37;0;29;LOAD ;34;4;3;7
31;37;1;30;JL   ;34;4;0;4
32;40;0;31;STORE;37;4;3;7
33;40;1;32;JL   ;37;4;0;4
34;43;0;33;NOP  ;40;4;3;7
35;43;1;34;JL   ;40;4;0;4
36;46;0;35;JL   ;43;4;3;7
37;49;0;36;JL   ;46;4;3;7
38;52;0;37;ADD  ;49;4;3;7
39;52;1;38;JL   ;49;4;0;4
40;55;0;39;SUB  ;52;4;3;7
41;55;1;40;JL   ;52;4;0;4
42;58;0;41;LOAD ;55;4;3;7
43;58;1;42;JL   ;55;4;0;4
44;61;0;43;STORE;58;4;3;7
45;61;1;44;JL   ;58;4;0;4
46;64;0;45;NOP  ;61;4;3;7
47;64;1;46;JL   ;61;4;0;4
48;67;0;47;JL   ;64;4;3;7
49;70;0;48;JL   ;67;4;3;7
50;73;0;49;ADD  ;70;4;3;7
51;73;1;50;JL   ;70;4;0;4
52;76;0;51;SUB  ;73;4;3;7
53;76;1;52;JL   ;73;4;0;4
54;79;0;53;LOAD ;76;4;3;7
55;79;1;54;JL   ;76;4;0;4
56;82;0;55;STORE;79;4;3;7
57;82;1;56;JL   ;79;4;0;4
58;85;0;57;NOP  ;82;4;3;7
59;85;1;58;JL   ;82;4;0;4
60;88;0;59;JL   ;85;4;3;7
61;91;0;60;HALT ;88;4;3;7
