cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12    .    .  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |    .    .    .  |   12    .    .  |    9   10   11  |    6    7    8  | fetch stalled (branch in OF/EX)
    6 |    .    .    .  |    .    .    .  |   12    .    .  |    9   10   11  | fetch stalled (branch in OF/EX)
    7 |   13   14    .  |    .    .    .  |    .    .    .  |   12    .    .  | 
    8 |    .    .    .  |   13   14    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
    9 |    .    .    .  |    .    .    .  |   13   14    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   10 |   15   16    .  |    .    .    .  |    .    .    .  |   13   14    .  | 
   11 |    .    .    .  |   15   16    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   12 |    .    .    .  |    .    .    .  |   15   16    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   13 |   17   18    .  |    .    .    .  |    .    .    .  |   15   16    .  | 
   14 |    .    .    .  |   17   18    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   15 |    .    .    .  |    .    .    .  |   17   18    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   16 |   19   20    .  |    .    .    .  |    .    .    .  |   17   18    .  | 
   17 |    .    .    .  |   19   20    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   18 |    .    .    .  |    .    .    .  |   19   20    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   19 |   21   22    .  |    .    .    .  |    .    .    .  |   19   20    .  | 
   20 |    .    .    .  |   21   22    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   21 |    .    .    .  |    .    .    .  |   21   22    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   22 |   23    .    .  |    .    .    .  |    .    .    .  |   21   22    .  | 
   23 |    .    .    .  |   23    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   24 |    .    .    .  |    .    .    .  |   23    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   25 |   24    .    .  |    .    .    .  |    .    .    .  |   23    .    .  | 
   26 |    .    .    .  |   24    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   27 |    .    .    .  |    .    .    .  |   24    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   28 |   25   26    .  |    .    .    .  |    .    .    .  |   24    .    .  | 
   29 |    .    .    .  |   25   26    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   30 |    .    .    .  |    .    .    .  |   25   26    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   31 |   27   28    .  |    .    .    .  |    .    .    .  |   25   26    .  | 
   32 |    .    .    .  |   27   28    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   33 |    .    .    .  |    .    .    .  |   27   28    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   34 |   29   30    .  |    .    .    .  |    .    .    .  |   27   28    .  | 
   35 |    .    .    .  |   29   30    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   36 |    .    .    .  |    .    .    .  |   29   30    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   37 |   31   32    .  |    .    .    .  |    .    .    .  |   29   30    .  | 
   38 |    .    .    .  |   31   32    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   39 |    .    .    .  |    .    .    .  |   31   32    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   40 |   33   34    .  |    .    .    .  |    .    .    .  |   31   32    .  | 
   41 |    .    .    .  |   33   34    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   42 |    .    .    .  |    .    .    .  |   33   34    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   43 |   35    .    .  |    .    .    .  |    .    .    .  |   33   34    .  | 
   44 |    .    .    .  |   35    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   45 |    .    .    .  |    .    .    .  |   35    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   46 |   36    .    .  |    .    .    .  |    .    .    .  |   35    .    .  | 
   47 |    .    .    .  |   36    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   48 |    .    .    .  |    .    .    .  |   36    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   49 |   37   38    .  |    .    .    .  |    .    .    .  |   36    .    .  | 
   50 |    .    .    .  |   37   38    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   51 |    .    .    .  |    .    .    .  |   37   38    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   52 |   39   40    .  |    .    .    .  |    .    .    .  |   37   38    .  | 
   53 |    .    .    .  |   39   40    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   54 |    .    .    .  |    .    .    .  |   39   40    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   55 |   41   42    .  |    .    .    .  |    .    .    .  |   39   40    .  | 
   56 |    .    .    .  |   41   42    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   57 |    .    .    .  |    .    .    .  |   41   42    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   58 |   43   44    .  |    .    .    .  |    .    .    .  |   41   42    .  | 
   59 |    .    .    .  |   43   44    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   60 |    .    .    .  |    .    .    .  |   43   44    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   61 |   45   46    .  |    .    .    .  |    .    .    .  |   43   44    .  | 
   62 |    .    .    .  |   45   46    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   63 |    .    .    .  |    .    .    .  |   45   46    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   64 |   47    .    .  |    .    .    .  |    .    .    .  |   45   46    .  | 
   65 |    .    .    .  |   47    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   66 |    .    .    .  |    .    .    .  |   47    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   67 |   48    .    .  |    .    .    .  |    .    .    .  |   47    .    .  | 
   68 |    .    .    .  |   48    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   69 |    .    .    .  |    .    .    .  |   48    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   70 |   49   50    .  |    .    .    .  |    .    .    .  |   48    .    .  | 
   71 |    .    .    .  |   49   50    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   72 |    .    .    .  |    .    .    .  |   49   50    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   73 |   51   52    .  |    .    .    .  |    .    .    .  |   49   50    .  | 
   74 |    .    .    .  |   51   52    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   75 |    .    .    .  |    .    .    .  |   51   52    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   76 |   53   54    .  |    .    .    .  |    .    .    .  |   51   52    .  | 
   77 |    .    .    .  |   53   54    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   78 |    .    .    .  |    .    .    .  |   53   54    .  |    .    .    .  | fetch stalled (branch in OF/EX)
