cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |  x18  x19  x20  |  x15  x16  x17  |   12   13   14  |    9   10   11  | JL taken -> 15
    7 |   15   16   17  |    .    .    .  |    .    .    .  |   12   13   14  | 
    8 |   18   19   20  |   15   16   17  |    .    .    .  |    .    .    .  | 
    9 |  x21  x22  x23  |  x18  x19  x20  |   15   16   17  |    .    .    .  | JL taken -> 18
   10 |   18   19   20  |    .    .    .  |    .    .    .  |   15   16   17  | 
   11 |   21   22   23  |   18   19   20  |    .    .    .  |    .    .    .  | 
   12 |  x24  x25  x26  |  x21  x22  x23  |   18   19   20  |    .    .    .  | JL taken -> 21
   13 |   21   22   23  |    .    .    .  |    .    .    .  |   18   19   20  | 
   14 |   24   25   26  |   21   22   23  |    .    .    .  |    .    .    .  | 
   15 |  x27  x28  x29  |  x24  x25  x26  |   21   22   23  |    .    .    .  | JL taken -> 24
   16 |   24   25   26  |    .    .    .  |    .    .    .  |   21   22   23  | 
   17 |   27   28   29  |   24   25   26  |    .    .    .  |    .    .    .  | 
   18 |  x30  x31  x32  |  x27  x28  x29  |   24   25   26  |    .    .    .  | JL taken -> 27
   19 |   27   28   29  |    .    .    .  |    .    .    .  |   24   25   26  | 
   20 |   30   31   32  |   27   28   29  |    .    .    .  |    .    .    .  | 
   21 |  x33  x34  x35  |  x30  x31  x32  |   27  x28  x29  |    .    .    .  | JL taken -> 30
   22 |   30   31   32  |    .    .    .  |    .    .    .  |   27    .    .  | 
   23 |   33   34   35  |   30   31   32  |    .    .    .  |    .    .    .  | 
   24 |  x36  x37  x38  |  x33  x34  x35  |   30   31   32  |    .    .    .  | JL taken -> 33
   25 |   33   34   35  |    .    .    .  |    .    .    .  |   30   31   32  | 
   26 |   36   37   38  |   33   34   35  |    .    .    .  |    .    .    .  | 
   27 |  x39  x40  x41  |  x36  x37  x38  |   33   34   35  |    .    .    .  | JL taken -> 36
   28 |   36   37   38  |    .    .    .  |    .    .    .  |   33   34   35  | 
   29 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   30 |  x42  x43  x44  |  x39  x40  x41  |   36   37   38  |    .    .    .  | JL taken -> 39
   31 |   39   40   41  |    .    .    .  |    .    .    .  |   36   37   38  | 
   32 |   42   43   44  |   39   40   41  |    .    .    .  |    .    .    .  | 
   33 |  x45  x46  x47  |  x42  x43  x44  |   39   40   41  |    .    .    .  | JL taken -> 42
   34 |   42   43   44  |    .    .    .  |    .    .    .  |   39   40   41  | 
   35 |   45   46   47  |   42   43   44  |    .    .    .  |    .    .    .  | 
   36 |  x48  x49  x50  |  x45  x46  x47  |   42   43   44  |    .    .    .  | JL taken -> 45
   37 |   45   46   47  |    .    .    .  |    .    .    .  |   42   43   44  | 
   38 |   48   49   50  |   45   46   47  |    .    .    .  |    .    .    .  | 
   39 |  x51  x52  x53  |  x48  x49  x50  |   45  x46  x47  |    .    .    .  | JL taken -> 48
   40 |   48   49   50  |    .    .    .  |    .    .    .  |   45    .    .  | 
   41 |   51   52   53  |   48   49   50  |    .    .    .  |    .    .    .  | 
   42 |  x54  x55  x56  |  x51  x52  x53  |   48   49   50  |    .    .    .  | JL taken -> 51
   43 |   51   52   53  |    .    .    .  |    .    .    .  |   48   49   50  | 
   44 |   54   55   56  |   51   52   53  |    .    .    .  |    .    .    .  | 
   45 |  x57  x58  x59  |  x54  x55  x56  |   51   52   53  |    .    .    .  | JL taken -> 54
   46 |   54   55   56  |    .    .    .  |    .    .    .  |   51   52   53  | 
   47 |   57   58   59  |   54   55   56  |    .    .    .  |    .    .    .  | 
   48 |  x60  x61  x62  |  x57  x58  x59  |   54   55   56  |    .    .    .  | JL taken -> 57
   49 |   57   58   59  |    .    .    .  |    .    .    .  |   54   55   56  | 
   50 |   60   61   62  |   57   58   59  |    .    .    .  |    .    .    .  | 
   51 |  x63  x64  x65  |  x60  x61  x62  |   57   58   59  |    .    .    .  | JL taken -> 60
   52 |   60   61   62  |    .    .    .  |    .    .    .  |   57   58   59  | 
   53 |   63   64   65  |   60   61   62  |    .    .    .  |    .    .    .  | 
   54 |  x66  x67  x68  |  x63  x64  x65  |   60   61   62  |    .    .    .  | JL taken -> 63
   55 |   63   64   65  |    .    .    .  |    .    .    .  |   60   61   62  | 
   56 |   66   67   68  |   63   64   65  |    .    .    .  |    .    .    .  | 
   57 |  x69  x70  x71  |  x66  x67  x68  |   63  x64  x65  |    .    .    .  | JL taken -> 66
   58 |   66   67   68  |    .    .    .  |    .    .    .  |   63    .    .  | 
   59 |   69   70   71  |   66   67   68  |    .    .    .  |    .    .    .  | 
   60 |  x72  x73  x74  |  x69  x70  x71  |   66   67   68  |    .    .    .  | JL taken -> 69
   61 |   69   70   71  |    .    .    .  |    .    .    .  |   66   67   68  | 
   62 |   72   73   74  |   69   70   71  |    .    .    .  |    .    .    .  | 
   63 |  x75  x76  x77  |  x72  x73  x74  |   69   70   71  |    .    .    .  | JL taken -> 72
   64 |   72   73   74  |    .    .    .  |    .    .    .  |   69   70   71  | 
   65 |   75   76   77  |   72   73   74  |    .    .    .  |    .    .    .  | 
   66 |  x78  x79  x80  |  x75  x76  x77  |   72   73   74  |    .    .    .  | JL taken -> 75
   67 |   75   76   77  |    .    .    .  |    .    .    .  |   72   73   74  | 
   68 |   78   79   80  |   75   76   77  |    .    .    .  |    .    .    .  | 
   69 |  x81  x82  x83  |  x78  x79  x80  |   75   76   77  |    .    .    .  | JL taken -> 78
   70 |   78   79   80  |    .    .    .  |    .    .    .  |   75   76   77  | 
   71 |   81   82   83  |   78   79   80  |    .    .    .  |    .    .    .  | 
   72 |  x84  x85  x86  |  x81  x82  x83  |   78   79   80  |    .    .    .  | JL taken -> 81
   73 |   81   82   83  |    .    .    .  |    .    .    .  |   78   79   80  | 
   74 |   84   85   86  |   81   82   83  |    .    .    .  |    .    .    .  | 
   75 |  x87  x88  x89  |  x84  x85  x86  |   81  x82  x83  |    .    .    .  | JL taken -> 84
   76 |   84   85   86  |    .    .    .  |    .    .    .  |   81    .    .  | 
   77 |   87   88   89  |   84   85   86  |    .    .    .  |    .    .    .  | 
   78 |  x90  x91  x92  |  x87  x88  x89  |   84  x85  x86  |    .    .    .  | HALT in EX: fetch stopped
   79 |    .    .    .  |    .    .    .  |    .    .    .  |   84    .    .  | HALT in WB: done
