cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |    .    .    .  |   12   13   14  |    9   10   11  |    6    7    8  | fetch stalled (branch in OF/EX)
    6 |    .    .    .  |    .    .    .  |   12   13   14  |    9   10   11  | JL taken -> 15
    7 |   15   16   17  |    .    .    .  |    .    .    .  |   12   13   14  | 
    8 |    .    .    .  |   15   16   17  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
    9 |    .    .    .  |    .    .    .  |   15   16   17  |    .    .    .  | JL taken -> 18
   10 |   18   19   20  |    .    .    .  |    .    .    .  |   15   16   17  | 
   11 |    .    .    .  |   18   19   20  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   12 |    .    .    .  |    .    .    .  |   18   19   20  |    .    .    .  | JL taken -> 21
   13 |   21   22   23  |    .    .    .  |    .    .    .  |   18   19   20  | 
   14 |    .    .    .  |   21   22   23  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   15 |    .    .    .  |    .    .    .  |   21   22   23  |    .    .    .  | JL taken -> 24
   16 |   24   25   26  |    .    .    .  |    .    .    .  |   21   22   23  | 
   17 |    .    .    .  |   24   25   26  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   18 |    .    .    .  |    .    .    .  |   24   25   26  |    .    .    .  | JL taken -> 27
   19 |   27    .    .  |    .    .    .  |    .    .    .  |   24   25   26  | 
   20 |    .    .    .  |   27    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   21 |    .    .    .  |    .    .    .  |   27    .    .  |    .    .    .  | JL taken -> 30
   22 |   30   31   32  |    .    .    .  |    .    .    .  |   27    .    .  | 
   23 |    .    .    .  |   30   31   32  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   24 |    .    .    .  |    .    .    .  |   30   31   32  |    .    .    .  | JL taken -> 33
   25 |   33   34   35  |    .    .    .  |    .    .    .  |   30   31   32  | 
   26 |    .    .    .  |   33   34   35  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   27 |    .    .    .  |    .    .    .  |   33   34   35  |    .    .    .  | JL taken -> 36
   28 |   36   37   38  |    .    .    .  |    .    .    .  |   33   34   35  | 
   29 |    .    .    .  |   36   37   38  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   30 |    .    .    .  |    .    .    .  |   36   37   38  |    .    .    .  | JL taken -> 39
   31 |   39   40   41  |    .    .    .  |    .    .    .  |   36   37   38  | 
   32 |    .    .    .  |   39   40   41  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   33 |    .    .    .  |    .    .    .  |   39   40   41  |    .    .    .  | JL taken -> 42
   34 |   42   43   44  |    .    .    .  |    .    .    .  |   39   40   41  | 
   35 |    .    .    .  |   42   43   44  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   36 |    .    .    .  |    .    .    .  |   42   43   44  |    .    .    .  | JL taken -> 45
   37 |   45    .    .  |    .    .    .  |    .    .    .  |   42   43   44  | 
   38 |    .    .    .  |   45    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   39 |    .    .    .  |    .    .    .  |   45    .    .  |    .    .    .  | JL taken -> 48
   40 |   48   49   50  |    .    .    .  |    .    .    .  |   45    .    .  | 
   41 |    .    .    .  |   48   49   50  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   42 |    .    .    .  |    .    .    .  |   48   49   50  |    .    .    .  | JL taken -> 51
   43 |   51   52   53  |    .    .    .  |    .    .    .  |   48   49   50  | 
   44 |    .    .    .  |   51   52   53  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   45 |    .    .    .  |    .    .    .  |   51   52   53  |    .    .    .  | JL taken -> 54
   46 |   54   55   56  |    .    .    .  |    .    .    .  |   51   52   53  | 
   47 |    .    .    .  |   54   55   56  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   48 |    .    .    .  |    .    .    .  |   54   55   56  |    .    .    .  | JL taken -> 57
   49 |   57   58   59  |    .    .    .  |    .    .    .  |   54   55   56  | 
   50 |    .    .    .  |   57   58   59  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   51 |    .    .    .  |    .    .    .  |   57   58   59  |    .    .    .  | JL taken -> 60
   52 |   60   61   62  |    .    .    .  |    .    .    .  |   57   58   59  | 
   53 |    .    .    .  |   60   61   62  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   54 |    .    .    .  |    .    .    .  |   60   61   62  |    .    .    .  | JL taken -> 63
   55 |   63    .    .  |    .    .    .  |    .    .    .  |   60   61   62  | 
   56 |    .    .    .  |   63    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   57 |    .    .    .  |    .    .    .  |   63    .    .  |    .    .    .  | JL taken -> 66
   58 |   66   67   68  |    .    .    .  |    .    .    .  |   63    .    .  | 
   59 |    .    .    .  |   66   67   68  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   60 |    .    .    .  |    .    .    .  |   66   67   68  |    .    .    .  | JL taken -> 69
   61 |   69   70   71  |    .    .    .  |    .    .    .  |   66   67   68  | 
   62 |    .    .    .  |   69   70   71  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   63 |    .    .    .  |    .    .    .  |   69   70   71  |    .    .    .  | JL taken -> 72
   64 |   72   73   74  |    .    .    .  |    .    .    .  |   69   70   71  | 
   65 |    .    .    .  |   72   73   74  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   66 |    .    .    .  |    .    .    .  |   72   73   74  |    .    .    .  | JL taken -> 75
   67 |   75   76   77  |    .    .    .  |    .    .    .  |   72   73   74  | 
   68 |    .    .    .  |   75   76   77  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   69 |    .    .    .  |    .    .    .  |   75   76   77  |    .    .    .  | JL taken -> 78
   70 |   78   79   80  |    .    .    .  |    .    .    .  |   75   76   77  | 
   71 |    .    .    .  |   78   79   80  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   72 |    .    .    .  |    .    .    .  |   78   79   80  |    .    .    .  | JL taken -> 81
   73 |   81    .    .  |    .    .    .  |    .    .    .  |   78   79   80  | 
   74 |    .    .    .  |   81    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   75 |    .    .    .  |    .    .    .  |   81    .    .  |    .    .    .  | JL taken -> 84
   76 |   84    .    .  |    .    .    .  |    .    .    .  |   81    .    .  | 
   77 |    .    .    .  |   84    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   78 |    .    .    .  |    .    .    .  |   84    .    .  |    .    .    .  | HALT in EX: fetch stopped
   79 |    .    .    .  |    .    .    .  |    .    .    .  |   84    .    .  | HALT in WB: done
