seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;ADD  ;2;4;0;4
8;5;1;7;ADD  ;2;4;0;4
9;5;2;8;ADD  ;2;4;0;4
10;6;0;9;ADD  ;3;4;0;4
11;6;1;10;ADD  ;3;4;0;4
12;6;2;11;ADD  ;3;4;0;4
13;7;0;12;ADD  ;4;4;0;4
14;7;1;13;ADD  ;4;4;0;4
15;7;2;14;ADD  ;4;4;0;4
16;8;0;15;ADD  ;5;4;0;4
17;8;1;16;ADD  ;5;4;0;4
18;8;2;17;ADD  ;5;4;0;4
19;9;0;18;ADD  ;6;4;0;4
20;9;1;19;ADD  ;6;4;0;4
21;9;2;20;ADD  ;6;4;0;4
22;10;0;21;ADD  ;7;4;0;4
23;10;1;22;ADD  ;7;4;0;4
24;10;2;23;ADD  ;7;4;0;4
25;11;0;24;ADD  ;8;4;0;4
26;11;1;25;ADD  ;8;4;0;4
27;11;2;26;ADD  ;8;4;0;4
28;12;0;27;ADD  ;9;4;0;4
29;12;1;28;ADD  ;9;4;0;4
30;12;2;29;ADD  ;9;4;0;4
31;13;0;30;ADD  ;10;4;0;4
32;13;1;31;ADD  ;10;4;0;4
33;13;2;32;ADD  ;10;4;0;4
34;14;0;33;ADD  ;11;4;0;4
35;14;1;34;ADD  ;11;4;0;4
36;14;2;35;ADD  ;11;4;0;4
37;15;0;36;SUB  ;12;4;0;4
38;15;1;37;SUB  ;12;4;0;4
39;15;2;38;SUB  ;12;4;0;4
40;16;0;39;SUB  ;13;4;0;4
41;16;1;40;SUB  ;13;4;0;4
42;16;2;41;SUB  ;13;4;0;4
43;17;0;42;SUB  ;14;4;0;4
44;17;1;43;SUB  ;14;4;0;4
45;17;2;44;SUB  ;14;4;0;4
46;18;0;45;SUB  ;15;4;0;4
47;18;1;46;SUB  ;15;4;0;4
48;18;2;47;SUB  ;15;4;0;4
49;19;0;48;SUB  ;16;4;0;4
50;19;1;49;SUB  ;16;4;0;4
51;19;2;50;SUB  ;16;4;0;4
52;20;0;51;SUB  ;17;4;0;4
53;20;1;52;SUB  ;17;4;0;4
54;20;2;53;SUB  ;17;4;0;4
55;21;0;54;SUB  ;18;4;0;4
56;21;1;55;SUB  ;18;4;0;4
57;21;2;56;SUB  ;18;4;0;4
58;22;0;57;SUB  ;19;4;0;4
59;22;1;58;SUB  ;19;4;0;4
60;22;2;59;SUB  ;19;4;0;4
61;23;0;60;SUB  ;20;4;0;4
62;23;1;61;SUB  ;20;4;0;4
63;23;2;62;SUB  ;20;4;0;4
64;24;0;63;SUB  ;21;4;0;4
65;24;1;64;SUB  ;21;4;0;4
66;24;2;65;SUB  ;21;4;0;4
67;25;0;66;LOAD ;22;4;0;4
68;25;1;67;LOAD ;22;4;0;4
69;25;2;68;LOAD ;22;4;0;4
70;26;0;69;LOAD ;23;4;0;4
71;26;1;70;LOAD ;23;4;0;4
72;26;2;71;LOAD ;23;4;0;4
73;27;0;72;LOAD ;24;4;0;4
74;27;1;73;LOAD ;24;4;0;4
75;27;2;74;LOAD ;24;4;0;4
76;28;0;75;LOAD ;25;4;0;4
77;28;1;76;LOAD ;25;4;0;4
78;28;2;77;LOAD ;25;4;0;4
79;29;0;78;LOAD ;26;4;0;4
80;29;1;79;LOAD ;26;4;0;4
81;29;2;80;LOAD ;26;4;0;4
82;30;0;81;LOAD ;27;4;0;4
83;30;1;82;LOAD ;27;4;0;4
84;30;2;83;LOAD ;27;4;0;4
85;31;0;84;LOAD ;28;4;0;4
86;31;1;85;LOAD ;28;4;0;4
87;31;2;86;LOAD ;28;4;0;4
88;32;0;87;LOAD ;29;4;0;4
89;32;1;88;LOAD ;29;4;0;4
90;32;2;89;LOAD ;29;4;0;4
91;33;0;90;LOAD ;30;4;0;4
92;33;1;91;LOAD ;30;4;0;4
93;33;2;92;LOAD ;30;4;0;4
94;34;0;93;LOAD ;31;4;0;4
95;34;1;94;LOAD ;31;4;0;4
96;34;2;95;LOAD ;31;4;0;4
97;35;0;96;STORE;32;4;0;4
98;35;1;97;STORE;32;4;0;4
99;35;2;98;STORE;32;4;0;4
100;36;0;99;STORE;33;4;0;4
101;36;1;100;STORE;33;4;0;4
102;36;2;101;STORE;33;4;0;4
103;37;0;102;STORE;34;4;0;4
104;37;1;103;STORE;34;4;0;4
105;37;2;104;STORE;34;4;0;4
106;38;0;105;STORE;35;4;0;4
107;38;1;106;STORE;35;4;0;4
108;38;2;107;STORE;35;4;0;4
109;39;0;108;STORE;36;4;0;4
110;39;1;109;STORE;36;4;0;4
111;39;2;110;STORE;36;4;0;4
112;40;0;111;STORE;37;4;0;4
113;40;1;112;STORE;37;4;0;4
114;40;2;113;STORE;37;4;0;4
115;41;0;114;STORE;38;4;0;4
116;41;1;115;STORE;38;4;0;4
117;41;2;116;STORE;38;4;0;4
118;42;0;117;STORE;39;4;0;4
119;42;1;118;STORE;39;4;0;4
120;42;2;119;STORE;39;4;0;4
121;43;0;120;STORE;40;4;0;4
122;43;1;121;STORE;40;4;0;4
123;43;2;122;STORE;40;4;0;4
124;44;0;123;STORE;41;4;0;4
125;44;1;124;STORE;41;4;0;4
126;44;2;125;STORE;41;4;0;4
127;45;0;126;NOP  ;42;4;0;4
128;45;1;127;NOP  ;42;4;0;4
129;45;2;128;NOP  ;42;4;0;4
130;46;0;129;NOP  ;43;4;0;4
131;46;1;130;NOP  ;43;4;0;4
132;46;2;131;NOP  ;43;4;0;4
133;47;0;132;NOP  ;44;4;0;4
134;47;1;133;NOP  ;44;4;0;4
135;47;2;134;NOP  ;44;4;0;4
136;48;0;135;NOP  ;45;4;0;4
137;48;1;136;NOP  ;45;4;0;4
138;48;2;137;NOP  ;45;4;0;4
139;49;0;138;NOP  ;46;4;0;4
140;49;1;139;NOP  ;46;4;0;4
141;49;2;140;NOP  ;46;4;0;4
142;50;0;141;NOP  ;47;4;0;4
143;50;1;142;NOP  ;47;4;0;4
144;50;2;143;NOP  ;47;4;0;4
145;51;0;144;NOP  ;48;4;0;4
146;51;1;145;NOP  ;48;4;0;4
147;51;2;146;NOP  ;48;4;0;4
148;52;0;147;NOP  ;49;4;0;4
149;52;1;148;NOP  ;49;4;0;4
150;52;2;149;NOP  ;49;4;0;4
151;53;0;150;NOP  ;50;4;0;4
152;53;1;151;NOP  ;50;4;0;4
153;53;2;152;NOP  ;50;4;0;4
154;54;0;153;NOP  ;51;4;0;4
155;54;1;154;NOP  ;51;4;0;4
156;54;2;155;NOP  ;51;4;0;4
157;55;0;156;HALT ;52;4;0;4
