seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;ADD  ;2;4;0;4
8;5;1;7;NOP  ;2;4;0;4
9;5;2;8;NOP  ;2;4;0;4
10;6;0;9;JL   ;3;4;0;4
11;6;1;10;JL   ;3;4;0;4
12;6;2;11;JL   ;3;4;0;4
13;7;0;12;JL   ;4;4;0;4
14;7;1;13;JL   ;4;4;0;4
15;7;2;14;JL   ;4;4;0;4
16;8;0;15;JL   ;5;4;0;4
17;8;1;16;JL   ;5;4;0;4
18;8;2;17;JL   ;5;4;0;4
19;9;0;18;JL   ;6;4;0;4
20;9;1;19;JL   ;6;4;0;4
21;9;2;20;JL   ;6;4;0;4
22;10;0;21;JL   ;7;4;0;4
23;10;1;22;JL   ;7;4;0;4
24;10;2;23;JL   ;7;4;0;4
25;11;0;24;JL   ;8;4;0;4
26;11;1;25;JL   ;8;4;0;4
27;11;2;26;JL   ;8;4;0;4
28;12;0;27;JL   ;9;4;0;4
29;12;1;28;JL   ;9;4;0;4
30;12;2;29;JL   ;9;4;0;4
31;13;0;30;JL   ;10;4;0;4
32;13;1;31;JL   ;10;4;0;4
33;13;2;32;JL   ;10;4;0;4
34;14;0;33;JL   ;11;4;0;4
35;14;1;34;JL   ;11;4;0;4
36;14;2;35;JL   ;11;4;0;4
37;15;0;36;JL   ;12;4;0;4
38;15;1;37;JL   ;12;4;0;4
39;15;2;38;JL   ;12;4;0;4
40;16;0;39;HALT ;13;4;0;4
