seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;ADD  ;2;4;0;4
8;5;1;7;NOP  ;2;4;0;4
9;5;2;8;NOP  ;2;4;0;4
10;6;0;9;JL   ;3;4;0;4
11;9;0;10;JL   ;6;4;3;7
12;12;0;11;JL   ;9;4;3;7
13;15;0;12;JL   ;12;4;3;7
14;18;0;13;JL   ;15;4;3;7
15;21;0;14;JL   ;18;4;3;7
16;24;0;15;JL   ;21;4;3;7
17;27;0;16;JL   ;24;4;3;7
18;30;0;17;JL   ;27;4;3;7
19;33;0;18;JL   ;30;4;3;7
20;36;0;19;JL   ;33;4;3;7
21;39;0;20;JL   ;36;4;3;7
22;42;0;21;JL   ;39;4;3;7
23;45;0;22;JL   ;42;4;3;7
24;48;0;23;JL   ;45;4;3;7
25;51;0;24;JL   ;48;4;3;7
26;54;0;25;JL   ;51;4;3;7
27;57;0;26;JL   ;54;4;3;7
28;60;0;27;JL   ;57;4;3;7
29;63;0;28;JL   ;60;4;3;7
30;66;0;29;JL   ;63;4;3;7
31;69;0;30;JL   ;66;4;3;7
32;72;0;31;JL   ;69;4;3;7
33;75;0;32;JL   ;72;4;3;7
34;78;0;33;JL   ;75;4;3;7
35;81;0;34;JL   ;78;4;3;7
36;84;0;35;JL   ;81;4;3;7
37;87;0;36;JL   ;84;4;3;7
38;90;0;37;JL   ;87;4;3;7
39;93;0;38;JL   ;90;4;3;7
40;96;0;39;HALT ;93;4;3;7
