cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9    .    .  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |    .    .    .  |    9    .    .  |    6    7    8  |    3    4    5  | fetch stalled (branch in OF/EX)
    5 |    .    .    .  |    .    .    .  |    9    .    .  |    6    7    8  | fetch stalled (branch in OF/EX)
    6 |   10    .    .  |    .    .    .  |    .    .    .  |    9    .    .  | 
    7 |    .    .    .  |   10    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
    8 |    .    .    .  |    .    .    .  |   10    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
    9 |   11    .    .  |    .    .    .  |    .    .    .  |   10    .    .  | 
   10 |    .    .    .  |   11    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   11 |    .    .    .  |    .    .    .  |   11    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   12 |   12    .    .  |    .    .    .  |    .    .    .  |   11    .    .  | 
   13 |    .    .    .  |   12    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   14 |    .    .    .  |    .    .    .  |   12    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   15 |   13    .    .  |    .    .    .  |    .    .    .  |   12    .    .  | 
   16 |    .    .    .  |   13    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   17 |    .    .    .  |    .    .    .  |   13    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   18 |   14    .    .  |    .    .    .  |    .    .    .  |   13    .    .  | 
   19 |    .    .    .  |   14    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   20 |    .    .    .  |    .    .    .  |   14    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   21 |   15    .    .  |    .    .    .  |    .    .    .  |   14    .    .  | 
   22 |    .    .    .  |   15    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   23 |    .    .    .  |    .    .    .  |   15    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   24 |   16    .    .  |    .    .    .  |    .    .    .  |   15    .    .  | 
   25 |    .    .    .  |   16    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   26 |    .    .    .  |    .    .    .  |   16    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   27 |   17    .    .  |    .    .    .  |    .    .    .  |   16    .    .  | 
   28 |    .    .    .  |   17    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   29 |    .    .    .  |    .    .    .  |   17    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   30 |   18    .    .  |    .    .    .  |    .    .    .  |   17    .    .  | 
   31 |    .    .    .  |   18    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   32 |    .    .    .  |    .    .    .  |   18    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   33 |   19    .    .  |    .    .    .  |    .    .    .  |   18    .    .  | 
   34 |    .    .    .  |   19    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   35 |    .    .    .  |    .    .    .  |   19    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   36 |   20    .    .  |    .    .    .  |    .    .    .  |   19    .    .  | 
   37 |    .    .    .  |   20    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   38 |    .    .    .  |    .    .    .  |   20    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   39 |   21    .    .  |    .    .    .  |    .    .    .  |   20    .    .  | 
   40 |    .    .    .  |   21    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   41 |    .    .    .  |    .    .    .  |   21    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   42 |   22    .    .  |    .    .    .  |    .    .    .  |   21    .    .  | 
   43 |    .    .    .  |   22    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   44 |    .    .    .  |    .    .    .  |   22    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   45 |   23    .    .  |    .    .    .  |    .    .    .  |   22    .    .  | 
   46 |    .    .    .  |   23    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   47 |    .    .    .  |    .    .    .  |   23    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   48 |   24    .    .  |    .    .    .  |    .    .    .  |   23    .    .  | 
   49 |    .    .    .  |   24    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   50 |    .    .    .  |    .    .    .  |   24    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   51 |   25    .    .  |    .    .    .  |    .    .    .  |   24    .    .  | 
   52 |    .    .    .  |   25    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   53 |    .    .    .  |    .    .    .  |   25    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   54 |   26    .    .  |    .    .    .  |    .    .    .  |   25    .    .  | 
   55 |    .    .    .  |   26    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   56 |    .    .    .  |    .    .    .  |   26    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   57 |   27    .    .  |    .    .    .  |    .    .    .  |   26    .    .  | 
   58 |    .    .    .  |   27    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   59 |    .    .    .  |    .    .    .  |   27    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   60 |   28    .    .  |    .    .    .  |    .    .    .  |   27    .    .  | 
   61 |    .    .    .  |   28    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   62 |    .    .    .  |    .    .    .  |   28    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   63 |   29    .    .  |    .    .    .  |    .    .    .  |   28    .    .  | 
   64 |    .    .    .  |   29    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   65 |    .    .    .  |    .    .    .  |   29    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   66 |   30    .    .  |    .    .    .  |    .    .    .  |   29    .    .  | 
   67 |    .    .    .  |   30    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   68 |    .    .    .  |    .    .    .  |   30    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   69 |   31    .    .  |    .    .    .  |    .    .    .  |   30    .    .  | 
   70 |    .    .    .  |   31    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   71 |    .    .    .  |    .    .    .  |   31    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   72 |   32    .    .  |    .    .    .  |    .    .    .  |   31    .    .  | 
   73 |    .    .    .  |   32    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   74 |    .    .    .  |    .    .    .  |   32    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   75 |   33    .    .  |    .    .    .  |    .    .    .  |   32    .    .  | 
   76 |    .    .    .  |   33    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   77 |    .    .    .  |    .    .    .  |   33    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   78 |   34    .    .  |    .    .    .  |    .    .    .  |   33    .    .  | 
